[2024-01-02 16:17:01,508][kospeech.utils][INFO] - audio:
  audio_extension: pcm
  sample_rate: 16000
  frame_length: 20
  frame_shift: 10
  normalize: true
  del_silence: true
  feature_extract_by: kaldi
  time_mask_num: 4
  freq_mask_num: 2
  spec_augment: true
  input_reverse: false
  transform_method: fbank
  n_mels: 80
  freq_mask_para: 18
model:
  architecture: deepspeech2
  teacher_forcing_ratio: 1.0
  teacher_forcing_step: 0.0
  min_teacher_forcing_ratio: 1.0
  dropout: 0.3
  bidirectional: false
  joint_ctc_attention: false
  max_len: 400
  use_bidirectional: true
  rnn_type: gru
  hidden_dim: 1024
  activation: hardtanh
  num_encoder_layers: 3
train:
  dataset: kspon
  dataset_path: /home/use08174/stt/kospeech/dataset/kspon/korean_audio/KSponSpeech
  transcripts_path: ../../../data/transcripts.txt
  output_unit: character
  batch_size: 32
  save_result_every: 1000
  checkpoint_every: 5000
  print_every: 10
  mode: train
  num_workers: 4
  use_cuda: true
  num_threads: 2
  init_lr_scale: 0.01
  final_lr_scale: 0.05
  max_grad_norm: 400
  weight_decay: 1.0e-05
  total_steps: 200000
  seed: 777
  resume: false
  optimizer: adam
  init_lr: 1.0e-06
  final_lr: 1.0e-06
  peak_lr: 0.0001
  warmup_steps: 400
  num_epochs: 70
  reduction: mean
  lr_scheduler: tri_stage_lr_scheduler

[2024-01-02 16:17:02,846][kospeech.utils][INFO] - Operating System : Linux 3.10.0-1160.15.2.el7.x86_64
[2024-01-02 16:17:02,847][kospeech.utils][INFO] - Processor : x86_64
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - device : NVIDIA GeForce RTX 3090
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - CUDA is available : True
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - CUDA version : 12.1
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - PyTorch version : 2.1.2+cu121
[2024-01-02 16:17:02,886][kospeech.utils][INFO] - split dataset start !!
[2024-01-02 16:17:03,314][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,342][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,370][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,519][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,545][kospeech.utils][INFO] - split dataset complete !!
[2024-01-02 16:17:08,215][kospeech.utils][INFO] - start
[2024-01-02 16:17:08,215][kospeech.utils][INFO] - Epoch 0 start
[2024-01-02 16:17:24,315][kospeech.utils][INFO] - step:   10/3624, loss: 33.917007, cer: 14.83, elapsed: 15.80s 0.26m 0.00h, lr: 0.000002
[2024-01-02 16:19:39,658][kospeech.utils][INFO] - step:  180/3624, loss: 4.339447, cer: 1.95, elapsed: 6.95s 2.52m 0.04h, lr: 0.000045
[2024-01-02 16:19:46,724][kospeech.utils][INFO] - step:  190/3624, loss: 4.312136, cer: 1.90, elapsed: 7.07s 2.64m 0.04h, lr: 0.000047
[2024-01-02 16:19:53,981][kospeech.utils][INFO] - step:  200/3624, loss: 4.421951, cer: 1.85, elapsed: 7.26s 2.76m 0.05h, lr: 0.000050
[2024-01-02 16:20:00,811][kospeech.utils][INFO] - step:  210/3624, loss: 4.475441, cer: 1.81, elapsed: 6.83s 2.87m 0.05h, lr: 0.000052
[2024-01-02 16:20:08,334][kospeech.utils][INFO] - step:  220/3624, loss: 4.315480, cer: 1.77, elapsed: 7.52s 3.00m 0.05h, lr: 0.000055
[2024-01-02 16:20:15,358][kospeech.utils][INFO] - step:  230/3624, loss: 4.497807, cer: 1.73, elapsed: 7.02s 3.11m 0.05h, lr: 0.000057
[2024-01-02 16:20:22,660][kospeech.utils][INFO] - step:  240/3624, loss: 4.307799, cer: 1.70, elapsed: 7.30s 3.24m 0.05h, lr: 0.000060
[2024-01-02 16:20:30,387][kospeech.utils][INFO] - step:  250/3624, loss: 4.272025, cer: 1.67, elapsed: 7.73s 3.36m 0.06h, lr: 0.000062
[2024-01-02 16:20:37,142][kospeech.utils][INFO] - step:  260/3624, loss: 4.269983, cer: 1.65, elapsed: 6.75s 3.48m 0.06h, lr: 0.000065
[2024-01-02 16:20:43,956][kospeech.utils][INFO] - step:  270/3624, loss: 4.151993, cer: 1.62, elapsed: 6.81s 3.59m 0.06h, lr: 0.000067
[2024-01-02 16:20:50,525][kospeech.utils][INFO] - step:  280/3624, loss: 4.214316, cer: 1.60, elapsed: 6.56s 3.70m 0.06h, lr: 0.000070
[2024-01-02 16:20:57,355][kospeech.utils][INFO] - step:  290/3624, loss: 4.118966, cer: 1.58, elapsed: 6.83s 3.81m 0.06h, lr: 0.000072
[2024-01-02 16:21:04,691][kospeech.utils][INFO] - step:  300/3624, loss: 4.346120, cer: 1.56, elapsed: 7.34s 3.94m 0.07h, lr: 0.000075
[2024-01-02 16:21:11,557][kospeech.utils][INFO] - step:  310/3624, loss: 4.303827, cer: 1.54, elapsed: 6.87s 4.05m 0.07h, lr: 0.000077
[2024-01-02 16:21:17,798][kospeech.utils][INFO] - step:  320/3624, loss: 4.205664, cer: 1.53, elapsed: 6.24s 4.15m 0.07h, lr: 0.000080
[2024-01-02 16:21:25,312][kospeech.utils][INFO] - step:  330/3624, loss: 4.155120, cer: 1.51, elapsed: 7.51s 4.28m 0.07h, lr: 0.000082
[2024-01-02 16:21:31,453][kospeech.utils][INFO] - step:  340/3624, loss: 4.116096, cer: 1.49, elapsed: 6.14s 4.38m 0.07h, lr: 0.000085
[2024-01-02 16:21:38,700][kospeech.utils][INFO] - step:  350/3624, loss: 4.246958, cer: 1.48, elapsed: 7.25s 4.50m 0.08h, lr: 0.000087
[2024-01-02 16:21:45,433][kospeech.utils][INFO] - step:  360/3624, loss: 4.198110, cer: 1.46, elapsed: 6.73s 4.62m 0.08h, lr: 0.000090
[2024-01-02 16:21:53,172][kospeech.utils][INFO] - step:  370/3624, loss: 4.018613, cer: 1.45, elapsed: 7.74s 4.74m 0.08h, lr: 0.000092
[2024-01-02 16:22:00,538][kospeech.utils][INFO] - step:  380/3624, loss: 4.398799, cer: 1.44, elapsed: 7.37s 4.87m 0.08h, lr: 0.000095
[2024-01-02 16:22:08,392][kospeech.utils][INFO] - step:  390/3624, loss: 4.166782, cer: 1.43, elapsed: 7.85s 5.00m 0.08h, lr: 0.000097
[2024-01-02 16:22:16,053][kospeech.utils][INFO] - step:  400/3624, loss: 4.072864, cer: 1.41, elapsed: 7.66s 5.13m 0.09h, lr: 0.000100
[2024-01-02 16:22:22,712][kospeech.utils][INFO] - step:  410/3624, loss: 4.071155, cer: 1.40, elapsed: 6.66s 5.24m 0.09h, lr: 0.000100
[2024-01-02 16:22:30,261][kospeech.utils][INFO] - step:  420/3624, loss: 4.244744, cer: 1.39, elapsed: 7.55s 5.36m 0.09h, lr: 0.000100
[2024-01-02 16:22:36,906][kospeech.utils][INFO] - step:  430/3624, loss: 3.906155, cer: 1.38, elapsed: 6.65s 5.47m 0.09h, lr: 0.000100
[2024-01-02 16:22:43,822][kospeech.utils][INFO] - step:  440/3624, loss: 4.027870, cer: 1.37, elapsed: 6.92s 5.59m 0.09h, lr: 0.000100
[2024-01-02 16:22:51,014][kospeech.utils][INFO] - step:  450/3624, loss: 4.199106, cer: 1.36, elapsed: 7.19s 5.71m 0.10h, lr: 0.000100
[2024-01-02 16:22:58,977][kospeech.utils][INFO] - step:  460/3624, loss: 3.995955, cer: 1.35, elapsed: 7.96s 5.84m 0.10h, lr: 0.000100
[2024-01-02 16:23:06,007][kospeech.utils][INFO] - step:  470/3624, loss: 3.748111, cer: 1.35, elapsed: 7.03s 5.96m 0.10h, lr: 0.000100
[2024-01-02 16:23:13,414][kospeech.utils][INFO] - step:  480/3624, loss: 3.786954, cer: 1.34, elapsed: 7.41s 6.08m 0.10h, lr: 0.000100
[2024-01-02 16:23:20,258][kospeech.utils][INFO] - step:  490/3624, loss: 3.959256, cer: 1.33, elapsed: 6.84s 6.20m 0.10h, lr: 0.000100
[2024-01-02 16:23:26,855][kospeech.utils][INFO] - step:  500/3624, loss: 3.914916, cer: 1.32, elapsed: 6.60s 6.31m 0.11h, lr: 0.000100
[2024-01-02 16:23:34,525][kospeech.utils][INFO] - step:  510/3624, loss: 3.827794, cer: 1.31, elapsed: 7.67s 6.43m 0.11h, lr: 0.000100
[2024-01-02 16:23:42,063][kospeech.utils][INFO] - step:  520/3624, loss: 3.757680, cer: 1.31, elapsed: 7.54s 6.56m 0.11h, lr: 0.000100
[2024-01-02 16:23:48,925][kospeech.utils][INFO] - step:  530/3624, loss: 3.655339, cer: 1.30, elapsed: 6.86s 6.67m 0.11h, lr: 0.000100
[2024-01-02 16:23:55,688][kospeech.utils][INFO] - step:  540/3624, loss: 3.530891, cer: 1.29, elapsed: 6.76s 6.79m 0.11h, lr: 0.000100
[2024-01-02 16:24:02,792][kospeech.utils][INFO] - step:  550/3624, loss: 3.625539, cer: 1.29, elapsed: 7.10s 6.90m 0.12h, lr: 0.000100
[2024-01-02 16:24:09,252][kospeech.utils][INFO] - step:  560/3624, loss: 3.695803, cer: 1.28, elapsed: 6.46s 7.01m 0.12h, lr: 0.000100
[2024-01-02 16:24:15,344][kospeech.utils][INFO] - step:  570/3624, loss: 3.688552, cer: 1.28, elapsed: 6.09s 7.11m 0.12h, lr: 0.000100
[2024-01-02 16:24:22,957][kospeech.utils][INFO] - step:  580/3624, loss: 3.698642, cer: 1.27, elapsed: 7.61s 7.24m 0.12h, lr: 0.000100
[2024-01-02 16:24:29,564][kospeech.utils][INFO] - step:  590/3624, loss: 3.911139, cer: 1.26, elapsed: 6.61s 7.35m 0.12h, lr: 0.000100
[2024-01-02 16:24:36,306][kospeech.utils][INFO] - step:  600/3624, loss: 3.481268, cer: 1.26, elapsed: 6.74s 7.46m 0.12h, lr: 0.000100
[2024-01-02 16:24:44,186][kospeech.utils][INFO] - step:  610/3624, loss: 3.634247, cer: 1.25, elapsed: 7.88s 7.59m 0.13h, lr: 0.000100
[2024-01-02 16:24:51,242][kospeech.utils][INFO] - step:  620/3624, loss: 3.433101, cer: 1.25, elapsed: 7.06s 7.71m 0.13h, lr: 0.000100
[2024-01-02 16:24:57,640][kospeech.utils][INFO] - step:  630/3624, loss: 3.868659, cer: 1.24, elapsed: 6.40s 7.82m 0.13h, lr: 0.000100
[2024-01-02 16:25:04,817][kospeech.utils][INFO] - step:  640/3624, loss: 3.649068, cer: 1.24, elapsed: 7.18s 7.94m 0.13h, lr: 0.000100
[2024-01-02 16:25:11,773][kospeech.utils][INFO] - step:  650/3624, loss: 3.369996, cer: 1.23, elapsed: 6.96s 8.05m 0.13h, lr: 0.000100
[2024-01-02 16:25:18,494][kospeech.utils][INFO] - step:  660/3624, loss: 3.533205, cer: 1.23, elapsed: 6.72s 8.17m 0.14h, lr: 0.000100
[2024-01-02 16:25:25,196][kospeech.utils][INFO] - step:  670/3624, loss: 3.810895, cer: 1.22, elapsed: 6.70s 8.28m 0.14h, lr: 0.000100
[2024-01-02 16:25:31,538][kospeech.utils][INFO] - step:  680/3624, loss: 3.414563, cer: 1.22, elapsed: 6.34s 8.38m 0.14h, lr: 0.000100
[2024-01-02 16:25:37,719][kospeech.utils][INFO] - step:  690/3624, loss: 3.785373, cer: 1.22, elapsed: 6.18s 8.49m 0.14h, lr: 0.000100
[2024-01-02 16:25:44,945][kospeech.utils][INFO] - step:  700/3624, loss: 3.603701, cer: 1.21, elapsed: 7.23s 8.61m 0.14h, lr: 0.000100
[2024-01-02 16:25:52,398][kospeech.utils][INFO] - step:  710/3624, loss: 3.415663, cer: 1.21, elapsed: 7.45s 8.73m 0.15h, lr: 0.000100
[2024-01-02 16:26:00,421][kospeech.utils][INFO] - step:  720/3624, loss: 3.489956, cer: 1.20, elapsed: 8.02s 8.87m 0.15h, lr: 0.000100
[2024-01-02 16:26:07,132][kospeech.utils][INFO] - step:  730/3624, loss: 3.416786, cer: 1.20, elapsed: 6.71s 8.98m 0.15h, lr: 0.000100
[2024-01-02 16:26:13,642][kospeech.utils][INFO] - step:  740/3624, loss: 3.327528, cer: 1.19, elapsed: 6.51s 9.09m 0.15h, lr: 0.000100
[2024-01-02 16:26:20,381][kospeech.utils][INFO] - step:  750/3624, loss: 3.426539, cer: 1.19, elapsed: 6.74s 9.20m 0.15h, lr: 0.000100
[2024-01-02 16:26:27,002][kospeech.utils][INFO] - step:  760/3624, loss: 3.544414, cer: 1.19, elapsed: 6.62s 9.31m 0.16h, lr: 0.000100
[2024-01-02 16:26:33,830][kospeech.utils][INFO] - step:  770/3624, loss: 3.445828, cer: 1.18, elapsed: 6.83s 9.42m 0.16h, lr: 0.000100
[2024-01-02 16:26:41,074][kospeech.utils][INFO] - step:  780/3624, loss: 3.481648, cer: 1.18, elapsed: 7.24s 9.54m 0.16h, lr: 0.000100
[2024-01-02 16:26:48,197][kospeech.utils][INFO] - step:  790/3624, loss: 3.503996, cer: 1.17, elapsed: 7.12s 9.66m 0.16h, lr: 0.000100
[2024-01-02 16:26:55,714][kospeech.utils][INFO] - step:  800/3624, loss: 3.244420, cer: 1.17, elapsed: 7.52s 9.79m 0.16h, lr: 0.000100
[2024-01-02 16:27:02,479][kospeech.utils][INFO] - step:  810/3624, loss: 3.635246, cer: 1.17, elapsed: 6.75s 9.90m 0.17h, lr: 0.000100
[2024-01-02 16:27:10,729][kospeech.utils][INFO] - step:  820/3624, loss: 3.298638, cer: 1.16, elapsed: 8.25s 10.04m 0.17h, lr: 0.000100
[2024-01-02 16:27:17,749][kospeech.utils][INFO] - step:  830/3624, loss: 3.329509, cer: 1.16, elapsed: 7.02s 10.15m 0.17h, lr: 0.000100
[2024-01-02 16:27:24,472][kospeech.utils][INFO] - step:  840/3624, loss: 3.206000, cer: 1.15, elapsed: 6.72s 10.27m 0.17h, lr: 0.000100
[2024-01-02 16:27:30,937][kospeech.utils][INFO] - step:  850/3624, loss: 3.334959, cer: 1.15, elapsed: 6.44s 10.37m 0.17h, lr: 0.000100
[2024-01-02 16:27:37,059][kospeech.utils][INFO] - step:  860/3624, loss: 3.019988, cer: 1.15, elapsed: 6.12s 10.48m 0.17h, lr: 0.000100
[2024-01-02 16:27:43,437][kospeech.utils][INFO] - step:  870/3624, loss: 3.258115, cer: 1.15, elapsed: 6.38s 10.58m 0.18h, lr: 0.000100
[2024-01-02 16:27:50,936][kospeech.utils][INFO] - step:  880/3624, loss: 3.121252, cer: 1.14, elapsed: 7.50s 10.71m 0.18h, lr: 0.000100
[2024-01-02 16:27:58,306][kospeech.utils][INFO] - step:  890/3624, loss: 3.304255, cer: 1.14, elapsed: 7.37s 10.83m 0.18h, lr: 0.000100
[2024-01-02 16:28:04,754][kospeech.utils][INFO] - step:  900/3624, loss: 3.079270, cer: 1.14, elapsed: 6.45s 10.94m 0.18h, lr: 0.000100
[2024-01-02 16:28:12,660][kospeech.utils][INFO] - step:  910/3624, loss: 3.210928, cer: 1.13, elapsed: 7.89s 11.07m 0.18h, lr: 0.000100
[2024-01-02 16:28:18,886][kospeech.utils][INFO] - step:  920/3624, loss: 3.150429, cer: 1.13, elapsed: 6.23s 11.17m 0.19h, lr: 0.000100
[2024-01-02 16:28:26,435][kospeech.utils][INFO] - step:  930/3624, loss: 3.258340, cer: 1.13, elapsed: 7.53s 11.30m 0.19h, lr: 0.000100
[2024-01-02 16:28:32,669][kospeech.utils][INFO] - step:  940/3624, loss: 3.175250, cer: 1.12, elapsed: 6.23s 11.40m 0.19h, lr: 0.000100
[2024-01-02 16:28:39,875][kospeech.utils][INFO] - step:  950/3624, loss: 3.251295, cer: 1.12, elapsed: 7.21s 11.52m 0.19h, lr: 0.000100
[2024-01-02 16:28:46,738][kospeech.utils][INFO] - step:  960/3624, loss: 3.039001, cer: 1.12, elapsed: 6.86s 11.64m 0.19h, lr: 0.000100
[2024-01-02 16:28:53,799][kospeech.utils][INFO] - step:  970/3624, loss: 3.134402, cer: 1.11, elapsed: 7.06s 11.75m 0.20h, lr: 0.000100
[2024-01-02 16:29:01,294][kospeech.utils][INFO] - step:  980/3624, loss: 3.408870, cer: 1.11, elapsed: 7.49s 11.88m 0.20h, lr: 0.000100
[2024-01-02 16:29:08,210][kospeech.utils][INFO] - step:  990/3624, loss: 3.200280, cer: 1.11, elapsed: 6.92s 11.99m 0.20h, lr: 0.000100
[2024-01-02 16:29:15,439][kospeech.utils][INFO] - step: 1000/3624, loss: 3.032163, cer: 1.10, elapsed: 7.23s 12.12m 0.20h, lr: 0.000100
[2024-01-02 16:29:22,234][kospeech.utils][INFO] - step: 1010/3624, loss: 2.788050, cer: 1.10, elapsed: 6.79s 12.23m 0.20h, lr: 0.000100
[2024-01-02 16:29:29,947][kospeech.utils][INFO] - step: 1020/3624, loss: 2.966977, cer: 1.10, elapsed: 7.71s 12.36m 0.21h, lr: 0.000100
[2024-01-02 16:29:37,224][kospeech.utils][INFO] - step: 1030/3624, loss: 2.972362, cer: 1.10, elapsed: 7.27s 12.48m 0.21h, lr: 0.000100
[2024-01-02 16:29:44,121][kospeech.utils][INFO] - step: 1040/3624, loss: 3.077034, cer: 1.09, elapsed: 6.90s 12.59m 0.21h, lr: 0.000100
[2024-01-02 16:29:50,750][kospeech.utils][INFO] - step: 1050/3624, loss: 3.069629, cer: 1.09, elapsed: 6.63s 12.70m 0.21h, lr: 0.000100
[2024-01-02 16:29:57,992][kospeech.utils][INFO] - step: 1060/3624, loss: 3.044768, cer: 1.09, elapsed: 7.24s 12.82m 0.21h, lr: 0.000100
[2024-01-02 16:30:05,277][kospeech.utils][INFO] - step: 1070/3624, loss: 3.044962, cer: 1.08, elapsed: 7.28s 12.95m 0.22h, lr: 0.000100
[2024-01-02 16:30:12,235][kospeech.utils][INFO] - step: 1080/3624, loss: 2.898924, cer: 1.08, elapsed: 6.95s 13.06m 0.22h, lr: 0.000100
[2024-01-02 16:30:18,929][kospeech.utils][INFO] - step: 1090/3624, loss: 3.085322, cer: 1.08, elapsed: 6.69s 13.17m 0.22h, lr: 0.000100
[2024-01-02 16:30:26,085][kospeech.utils][INFO] - step: 1100/3624, loss: 3.092629, cer: 1.08, elapsed: 7.16s 13.29m 0.22h, lr: 0.000100
[2024-01-02 16:30:33,178][kospeech.utils][INFO] - step: 1110/3624, loss: 3.106380, cer: 1.08, elapsed: 7.09s 13.41m 0.22h, lr: 0.000100
[2024-01-02 16:30:40,094][kospeech.utils][INFO] - step: 1120/3624, loss: 2.643466, cer: 1.07, elapsed: 6.91s 13.53m 0.23h, lr: 0.000100
[2024-01-02 16:30:47,129][kospeech.utils][INFO] - step: 1130/3624, loss: 2.772061, cer: 1.07, elapsed: 7.02s 13.64m 0.23h, lr: 0.000100
[2024-01-02 16:30:54,377][kospeech.utils][INFO] - step: 1140/3624, loss: 3.549512, cer: 1.07, elapsed: 7.25s 13.76m 0.23h, lr: 0.000100
[2024-01-02 16:31:01,250][kospeech.utils][INFO] - step: 1150/3624, loss: 3.068674, cer: 1.07, elapsed: 6.87s 13.88m 0.23h, lr: 0.000100
[2024-01-02 16:31:08,942][kospeech.utils][INFO] - step: 1160/3624, loss: 2.823695, cer: 1.06, elapsed: 7.69s 14.01m 0.23h, lr: 0.000100
[2024-01-02 16:31:15,965][kospeech.utils][INFO] - step: 1170/3624, loss: 2.982674, cer: 1.06, elapsed: 7.02s 14.12m 0.24h, lr: 0.000100
[2024-01-02 16:31:23,281][kospeech.utils][INFO] - step: 1180/3624, loss: 2.831244, cer: 1.06, elapsed: 7.32s 14.25m 0.24h, lr: 0.000100
[2024-01-02 16:31:29,622][kospeech.utils][INFO] - step: 1190/3624, loss: 2.711205, cer: 1.06, elapsed: 6.34s 14.35m 0.24h, lr: 0.000100
[2024-01-02 16:31:37,102][kospeech.utils][INFO] - step: 1200/3624, loss: 2.954368, cer: 1.05, elapsed: 7.47s 14.48m 0.24h, lr: 0.000100
[2024-01-02 16:31:44,838][kospeech.utils][INFO] - step: 1210/3624, loss: 2.830864, cer: 1.05, elapsed: 7.74s 14.61m 0.24h, lr: 0.000100
[2024-01-02 16:31:52,497][kospeech.utils][INFO] - step: 1220/3624, loss: 2.696382, cer: 1.05, elapsed: 7.65s 14.73m 0.25h, lr: 0.000100
[2024-01-02 16:31:59,653][kospeech.utils][INFO] - step: 1230/3624, loss: 2.878448, cer: 1.05, elapsed: 7.16s 14.85m 0.25h, lr: 0.000100
[2024-01-02 16:32:07,101][kospeech.utils][INFO] - step: 1240/3624, loss: 2.757558, cer: 1.04, elapsed: 7.44s 14.98m 0.25h, lr: 0.000100
[2024-01-02 16:32:14,754][kospeech.utils][INFO] - step: 1250/3624, loss: 3.118061, cer: 1.04, elapsed: 7.64s 15.10m 0.25h, lr: 0.000100
[2024-01-02 16:32:21,416][kospeech.utils][INFO] - step: 1260/3624, loss: 2.857647, cer: 1.04, elapsed: 6.66s 15.22m 0.25h, lr: 0.000100
[2024-01-02 16:32:28,176][kospeech.utils][INFO] - step: 1270/3624, loss: 2.686721, cer: 1.04, elapsed: 6.76s 15.33m 0.26h, lr: 0.000100
[2024-01-02 16:32:35,284][kospeech.utils][INFO] - step: 1280/3624, loss: 2.785355, cer: 1.03, elapsed: 7.11s 15.45m 0.26h, lr: 0.000100
[2024-01-02 16:32:43,293][kospeech.utils][INFO] - step: 1290/3624, loss: 2.991338, cer: 1.03, elapsed: 8.01s 15.58m 0.26h, lr: 0.000100
[2024-01-02 16:32:50,132][kospeech.utils][INFO] - step: 1300/3624, loss: 2.644399, cer: 1.03, elapsed: 6.84s 15.69m 0.26h, lr: 0.000100
[2024-01-02 16:32:57,308][kospeech.utils][INFO] - step: 1310/3624, loss: 3.016555, cer: 1.03, elapsed: 7.13s 15.81m 0.26h, lr: 0.000100
[2024-01-02 16:33:04,199][kospeech.utils][INFO] - step: 1320/3624, loss: 2.645737, cer: 1.03, elapsed: 6.89s 15.93m 0.27h, lr: 0.000100
[2024-01-02 16:33:11,534][kospeech.utils][INFO] - step: 1330/3624, loss: 2.727897, cer: 1.02, elapsed: 7.33s 16.05m 0.27h, lr: 0.000100
[2024-01-02 16:33:19,093][kospeech.utils][INFO] - step: 1340/3624, loss: 2.683031, cer: 1.02, elapsed: 7.56s 16.18m 0.27h, lr: 0.000100
[2024-01-02 16:33:25,947][kospeech.utils][INFO] - step: 1350/3624, loss: 2.874225, cer: 1.02, elapsed: 6.85s 16.29m 0.27h, lr: 0.000100
